formula,formation energy,Mpid,SpaceGroup
La2Fe2S5,-1.59,mp-2995,Cmc2_1
RbVBr3,-1.6,mp-29314,P6₃cm
(NH4)(BAsO4F),-1.61,mp-1191775,C1c1
Cu2Pb5(SO4)3CO3(OH)6,-1.62,mp-1202476,Pmn2_1
(NH4)2(VO)(P2O7),-1.63,mp-765665,P4bm
K17Fe5O16,-1.63,mp-558482,C1m1
K4(CO4),-1.64,mp-605843,C1m1
Te2O3(SO4),-1.64,mp-4906,Pmn2_1
Bi(FeO3),-1.65,mp-1069079,P4mm
Er6(Si11N20O),-1.65,mp-1225896,P31c
Co2Mo3O8,-1.66,mp-17824,P6₃mc
Na3Li(MoO4)2(H2O)6,-1.67,mp-735483,R3c
InBaCo4O7,-1.67,mp-22402,P6₃mc
Ba(VS3),-1.67,mp-3451,Cmc2_1
BiFeO3,-1.68,mp-23501,R3c
Fe2Mo3O8,-1.68,mp-504974,P6₃mc
Ba(FeO3),-1.69,mp-705845,R3m
Co2Mn3O8,-1.69,mp-504423,Pmn2_1
Cs(GeCl3),-1.71,mp-22988,R3m
Mn(NH4)Na(P2O7)(H2O)3,-1.72,mp-757398,C1c1
Mn2Mo3O8,-1.74,mp-504503,P6₃mc
CsCrCl3,-1.75,mp-610955,P6₃mc
K2Cr4O13,-1.76,mp-542693,P1c1
Cs(HSO3),-1.76,mp-1018678,R3m
PbFe3(SO4)(PO4)(OH)6,-1.76,mp-735523,R3m
K2(CoCl4),-1.76,mp-23515,Pna2_1
PtGeSe,-1.76,mp-20817,Pna2_1
CuReO4,-1.77,mp-645206,C1c1
Li(N2H5)(BeF4),-1.77,mp-721303,Pna2_1
Ba3CrS5,-1.78,mp-30903,P6₃mc
(H3O)2V3O8,-1.79,mp-627291,P1c1
Cu2(V2O7),-1.8,mp-505508,Fdd2
CsAl(H2AsO4)2(HAsO4),-1.81,mp-1201174,C1c1
Sb6O7(SO4)2,-1.81,mp-27229,Ccc2
BiMnO3,-1.81,mp-1106239,C1c1
CsAl(H2AsO4)2(HAsO4),-1.81,mp-1201174,C1c1
BaNiO3,-1.82,mp-19241,P6₃mc
Sb(SbO4),-1.84,mp-704327,Pnma
