formula,formation energy,Mpid,SpaceGroup
Tl3(AsSe3),-0.517,mp-7684,R3m
LiGaGe,-0.267,mp-7874,P6₃mc
Ag(NO3),-0.653,mp-8196,R3m
Tl3SbS3,-0.554,mp-8393,R3m
Sb2TeSe2,-0.498,mp-8612,R3m
AlP,-0.605,mp-8880,P6₃mc
AlAs,-0.478,mp-8881,P6₃mc
GaP,-0.399,mp-8882,P6₃mc
GaAs,-0.338,mp-8883,P6₃mc
ZnTe,-0.679,mp-8884,P6₃mc
Na6(WP4),-0.408,mp-9007,P6₃mc
Ni5As2,-0.24,mp-941,P6₃cm
C3N4,0.299,mp-9410,P32c
LiZnSb,-0.43,mp-9919,P6₃mc
MoN,-0.547,mp-999503,P6₃mc
LiGaSe2,-0.911,mp-11582,Pna2_1
Zn2NCl,-0.713,mp-1189171,Pna2_1
CaP2Xe5F22,-2.027,mp-557352,Pna2_1
KCrPO4F,-2.768,mp-19498,Pna2_1
CdAg2GeS4,-0.677,mp-1197203,Pna2_1
Li7H5N4,-0.648,mp-1200910,Pna2_1
SrP11H28N9,-0.475,mp-1198273,Pna2_1
In2Si2Pb2O9,-2.411,mp-542840,Pna2_1
KTiPO5,-3.061,mp-1198407,Pna2_1
BaAlH5,-0.434,mp-644097,Pna2_1
LiPPbO4,-2.511,mp-22694,Pna2_1
NaGaO2,-2.232,mp-3338,Pna2_1
KDy(SeO4)2,-2.024,mp-555816,Pna2_1
RbGeSbO5,-2.096,mp-6639,Pna2_1
K4VP2S9,-1.271,mp-556552,Pna2_1
SO3,-1.755,mp-2414,Pna2_1
NaNd4I7N2,-1.531,mp-568759,Pna2_1
NaNdSiO4,-3.301,mp-13774,Pna2_1
BeSiN2,-1.413,mp-7913,Pna2_1
CsGeB3O7,-2.657,mp-558804,Pna2_1
LiGaO2,-2.387,mp-5854,Pna2_1
ZnH3CNO3,-1.324,mp-722315,Pna2_1
RbSbS(O2F)2,-2.376,mp-554732,Pna2_1
LiInS2,-1.265,mp-1188392,Pna2_1
AsF3,-2.499,mp-28027,Pna2_1
